ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
Q1,Từ '興味' có nghĩa là gì?,Pháp luật,"Tín hiệu, đèn giao thông",Hứng thú,Đại sứ quán,C,"A. Pháp luật (法律 (ほうりつ)), B. Tín hiệu, đèn giao thông (信号 (しんごう)), C. Hứng thú (興味 (きょうみ)), D. Đại sứ quán (大使館 (たいしかん))",歴史に興味があります。(Tôi có hứng thú với lịch sử.)
Q2,Từ 'ピアス' có nghĩa là gì?,Lịch sử,Khuyên tai,Nhập khẩu,Sự nghiên cứu,B,"A. Lịch sử (歴史 (れきし)), B. Khuyên tai (ピアス), C. Nhập khẩu (輸入する (ゆにゅうする)), D. Sự nghiên cứu (研究 (けんきゅう))",耳にピアスをつけます。(Đeo khuyên tai ở tai.)
Q3,Từ '使用します' có nghĩa là gì?,Sản phẩm,"Có khi nào, có lẽ nào",Y tá,Sử dụng (cách nói trang trọng),D,"A. Sản phẩm (商品 (しょうひん)), B. Có khi nào, có lẽ nào (もしかして), C. Y tá (看護師 (かんごし)), D. Sử dụng (cách nói trang trọng) (使用します (しようします))",エレベーターを使用します。(Sử dụng thang máy.)
Q4,Từ '大使館' có nghĩa là gì?,Màu nâu,Số điện thoại,Đại sứ quán,Hiệu thuốc,C,"A. Màu nâu (茶色 (ちゃいろ)), B. Số điện thoại (電話番号 (でんわばんごう)), C. Đại sứ quán (大使館 (たいしかん)), D. Hiệu thuốc (ドラッグストア)",大使館でビザをもらいます。(Nhận visa ở đại sứ quán.)
Q5,Từ 'お年寄り' có nghĩa là gì?,Xuất khẩu,Người cao tuổi,"(Xe) dừng, đỗ",Nhà nghiên cứu,B,"A. Xuất khẩu (輸出する (ゆしゅつする)), B. Người cao tuổi (お年寄り (おとしより)), C. (Xe) dừng, đỗ (止まります (とまります)), D. Nhà nghiên cứu (研究者 (けんきゅうしゃ))",お年寄りに席を譲ります。(Nhường ghế cho người cao tuổi.)
Q6,Từ 'サングラス' có nghĩa là gì?,"Kính râm, kính mát","Lấy; tháo, bỏ","Tất, đôi tất",Đi bộ,A,"A. Kính râm, kính mát (サングラス), B. Lấy; tháo, bỏ (取る (とる)), C. Tất, đôi tất (靴下 (くつした)), D. Đi bộ (歩きます (あるきます))",海でサングラスをかけます。(Đeo kính râm ở biển.)
Q7,Từ '帽子' có nghĩa là gì?,Cái mũ,"Về ~ (chủ đề, vấn đề nào đó)","Lấy; tháo, bỏ",Nghiên cứu,A,"A. Cái mũ (帽子 (ぼうし)), B. Về ~ (chủ đề, vấn đề nào đó) (〜について), C. Lấy; tháo, bỏ (取る (とる)), D. Nghiên cứu (研究する (けんきゅうする))",日差しが強いから帽子を被ります。(Vì nắng gắt nên đội mũ.)
Q8,Từ '研究' có nghĩa là gì?,(Màu) vàng,"Về ~ (chủ đề, vấn đề nào đó)",Sự nghiên cứu,Số điện thoại,C,"A. (Màu) vàng (黄色い (きいろい)), B. Về ~ (chủ đề, vấn đề nào đó) (〜について), C. Sự nghiên cứu (研究 (けんきゅう)), D. Số điện thoại (電話番号 (でんわばんごう))",大学で研究をします。(Nghiên cứu ở trường đại học.)
Q9,Từ 'かける' có nghĩa là gì?,Đội ~,Sử dụng (cách nói trang trọng),Người giàu có,Đeo (kính),D,"A. Đội ~ (被る (かぶる)), B. Sử dụng (cách nói trang trọng) (使用します (しようします)), C. Người giàu có (お金持ち (おかねもち)), D. Đeo (kính) (かける)",眼鏡をかけます。(Đeo kính.)
Q10,Từ '増える' có nghĩa là gì?,Cái mũ,"Hủy bỏ, ngừng (giữa chừng)",Tăng lên,Người giàu có,C,"A. Cái mũ (帽子 (ぼうし)), B. Hủy bỏ, ngừng (giữa chừng) (中止 (ちゅうし)), C. Tăng lên (増える (ふえる)), D. Người giàu có (お金持ち (おかねもち))",給料が増えます。(Lương tăng lên.)
Q11,Từ '理由' có nghĩa là gì?,Người cao tuổi,Người giúp việc nhà,"Hủy bỏ, ngừng (giữa chừng)",Lý do,D,"A. Người cao tuổi (お年寄り (おとしより)), B. Người giúp việc nhà (メイド), C. Hủy bỏ, ngừng (giữa chừng) (中止 (ちゅうし)), D. Lý do (理由 (りゆう))",遅れた理由を教えてください。(Hãy cho tôi biết lý do đến muộn.)
Q12,Từ '茶色' có nghĩa là gì?,Mỹ phẩm,"Quàng, quấn",Màu nâu,Pháp luật,C,"A. Mỹ phẩm (化粧品 (けしょうひん)), B. Quàng, quấn (巻く (まく)), C. Màu nâu (茶色 (ちゃいろ)), D. Pháp luật (法律 (ほうりつ))",鞄の色は茶色です。(Màu của túi xách là màu nâu.)
Q13,Từ '電話番号' có nghĩa là gì?,Số điện thoại,Này (từ để gọi người thân quen),"Ngừng, dừng lại, tạnh (mưa)",Lịch sử,A,"A. Số điện thoại (電話番号 (でんわばんごう)), B. Này (từ để gọi người thân quen) (ねえ), C. Ngừng, dừng lại, tạnh (mưa) (止みます (やみます)), D. Lịch sử (歴史 (れきし))",電話番号を教えてください。(Hãy cho tôi biết số điện thoại.)
Q14,Từ '研究する' có nghĩa là gì?,"Tất, đôi tất",Nghiên cứu,Cái mũ,Hiệu thuốc,B,"A. Tất, đôi tất (靴下 (くつした)), B. Nghiên cứu (研究する (けんきゅうする)), C. Cái mũ (帽子 (ぼうし)), D. Hiệu thuốc (ドラッグストア)",大学で経済を研究します。(Nghiên cứu kinh tế ở đại học.)
