﻿ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
Q1,(お)花見,Sự ngắm hoa,Đầu tiên,Ngủ trưa,Động đất,A,"A. お花見 (おはなみ - Ngắm hoa), B. 最初 (さいしょ - Đầu tiên), C. 昼寝 (ひるね - Ngủ trưa), D. 地震 (じしん - Động đất)",週末はお花見に行きます。(Cuối tuần tôi sẽ đi ngắm hoa.)
Q2,最初,Cuối tuần này,Đầu tiên,Sự ngắm hoa,Lời nói dối,B,"A. 今週末 (こんしゅうまつ - Cuối tuần này), B. 最初 (さいしょ - Đầu tiên), C. お花見 (おはなみ - Ngắm hoa), D. 嘘 (うそ - Nói dối)",最初は難しかったです。(Lúc đầu thì đã rất khó.)
Q3,今週末,Tuần sau,Cuối tuần này,Cuối tháng,Tuần trước,B,"A. 来週 (らいしゅう - Tuần sau), B. 今週末 (こんしゅうまつ - Cuối tuần này), C. 今月末 (こんげつまつ - Cuối tháng), D. 先週 (せんしゅう - Tuần trước)",今週末は暇ですか。(Cuối tuần này bạn rảnh không?)
Q4,地震,Hỏa hoạn,Tai nạn,Động đất,Ngập lụt,C,"A. 火事 (かじ - Hỏa hoạn), B. 事故 (じこ - Tai nạn), C. 地震 (じしん - Động đất), D. 洪水 (こうずい - Ngập lụt)",大きい地震がありました。(Đã có trận động đất lớn.)
Q5,昼寝,Ngủ nướng,Thức khuya,Ngủ trưa,Đi ngủ,C,"A. 寝坊 (ねぼう - Ngủ nướng), B. 徹夜 (てつや - Thức khuya), C. 昼寝 (ひるね - Ngủ trưa), D. 寝る (ねる - Ngủ)",休みの日は昼寝をします。(Ngày nghỉ tôi thường ngủ trưa.)
Q6,嘘,Sự thật,Lời nói dối,Bí mật,Câu chuyện,B,"A. 本当 (ほんとう - Sự thật), B. 嘘 (うそ - Nói dối), C. 秘密 (ひみつ - Bí mật), D. 話 (はなし - Câu chuyện)",嘘をつかないで。(Đừng có nói dối.)
Q7,赤ちゃん,Người lớn,Trẻ em,"Em bé, trẻ sơ sinh",Thanh niên,C,"A. 大人 (おとな - Người lớn), B. 子供 (こども - Trẻ em), C. 赤ちゃん (あかちゃん - Em bé), D. 若者 (わかもの - Thanh niên)",赤ちゃんが泣いています。(Em bé đang khóc.)
Q8,火事,Động đất,Hỏa hoạn,Tai nạn,Sấm sét,B,"A. 地震 (じしん - Động đất), B. 火事 (かじ - Hỏa hoạn), C. 事故 (じこ - Tai nạn), D. 雷 (かみなり - Sấm sét)",火事を見ました。(Tôi đã nhìn thấy hỏa hoạn.)
Q9,教科書,Từ điển,Sách giáo khoa,Tiểu thuyết,Tạp chí,B,"A. 辞書 (じしょ - Từ điển), B. 教科書 (きょうかしょ - Sách giáo khoa), C. 小説 (しょうせつ - Tiểu thuyết), D. 雑誌 (ざっし - Tạp chí)",教科書を開いてください。(Hãy mở sách giáo khoa ra.)
Q10,イギリス,Mỹ,Pháp,Đức,Nước Anh,D,"A. アメリカ (Mỹ), B. フランス (Pháp), C. ドイツ (Đức), D. イギリス (Nước Anh)",イギリスへ行きたいです。(Tôi muốn đi Anh.)
