id,type,question,options,correctAnswer,explanation
1,single_choice,"An IT director decides to change the team's objective from ""patching software"" to ""ensuring a secure digital workspace service"". This change is an example of:",Increasing technical silos.|Deprioritizing business goals.|Adopting a service-centric view.|Focusing on infrastructure.,2,"Hành động này thể hiện sự chuyển dịch từ công việc kỹ thuật đơn thuần ('patching software') sang góc nhìn lấy dịch vụ làm trung tâm ('service-centric view') nhằm mang lại giá trị cho người dùng."
2,single_choice,"An organization wants to implement ITSM, but its teams are using inconsistent processes, leading to confusion. What is the most significant benefit a framework like ITIL would offer?",It guarantees a reduction in IT costs by 50%.|It allows for more flexible and unstructured ways of working.|It provides a shared roadmap that clarifies processes and roles.|It is the only framework available for ITSM.,2,"Sử dụng một framework như ITIL giúp tiêu chuẩn hóa vận hành, cung cấp một định hướng chung (shared roadmap) giúp làm rõ quy trình và vai trò của các nhóm."
3,single_choice,An IT manager needs to analyze the root cause of several related service outages. Which core ServiceNow ITSM application would be most appropriate for this task?,Change Management|Service Catalog|Problem Management|Incident Management,2,"Problem Management là ứng dụng chịu trách nhiệm phân tích nguyên nhân gốc rễ (root cause) của các sự cố lặp lại để ngăn ngừa việc tái diễn trong tương lai."
4,single_choice,A new learner wants to practice building a new feature in ServiceNow without impacting any real business operations. The best tool for this would be:,A Personal Developer Instance (PDI).|The company's live production environment.|A PDF guide of ServiceNow features.|A user account with no administrative privileges.,0,"Personal Developer Instance (PDI) là môi trường thử nghiệm (sandbox) cá nhân giúp học viên thoải mái vọt vạch, lập trình và test tính năng mà không ảnh hưởng tới hệ thống thật (production)."
5,single_choice,"A new employee needs a laptop, access to specific software, and a company mobile phone. Which ServiceNow Service Catalog feature is best suited for this scenario?",A contextual search|An Order Guide|A Standard Item|A Record Producer,1,"Order Guide trong ServiceNow cho phép gom nhóm (bundle) nhiều vật tư/dịch vụ lẻ thành một luồng yêu cầu duy nhất dành cho các kịch bản như Onboarding nhân viên mới."
6,single_choice,"A company just recovered from a major system outage that was managed as a Major Incident. The incident manager needs to prepare a formal document for stakeholders that outlines the timeline, response, and what was documented in the ""Resolution Notes."" What is this document called?",The Service Level Agreement|The Major Incident Workbench|The Forward Schedule of Change|The Post Incident Report,3,"Báo cáo sau sự cố (Post Incident Report) là tài liệu chính thức tổng hợp diễn biến, timeline, cách xử lý và Resolution Notes sau khi khắc phục một Major Incident."
7,single_choice,"A Service Desk team notices that every Monday morning, several users submit incidents about being unable to access a specific application. What is the most appropriate next step according to Problem Management principles?",Create a Problem record to investigate the underlying root cause of the recurring issue.|Close each incident individually as soon as the user's access is restored.|Escalate each of the incidents to a different senior engineer.|Send an email to all users asking them not to use the application on Monday mornings.,0,"Khi xuất hiện nhiều Incident lặp đi lặp lại theo chu kỳ, nguyên tắc của Problem Management là tạo một Problem record để điều tra root cause triệt để."
8,single_choice,"An IT operations team regularly performs routine monthly reboots of non-critical development servers to apply minor security patches. These reboots are automated, follow a strict, documented procedure, and have never caused any service interruptions. Which change type should they use in ServiceNow for these reboots?",Normal Change|Major Change|Emergency Change|Standard Change,3,"Các thay đổi diễn ra định kỳ, rủi ro thấp, đã được phê duyệt trước (pre-approved) và tuân theo quy trình chuẩn hóa được phân loại là Standard Change."
9,single_choice,An application owner needs to perform a major upgrade to a critical database server next month. This action is not pre-approved and carries significant risk. What type of change should be created in ServiceNow?,A Retrospective Change|A Normal Change|A Standard Change|An Emergency Change,1,"Việc nâng cấp hệ thống quan trọng chưa được phê duyệt trước và có rủi ro cao đòi hỏi phải tuân theo quy trình đánh giá nghiêm ngặt của Normal Change."
10,single_choice,A product owner has five approved changes for their primary customer-facing application. They want to deploy all five changes together during the next maintenance window. This coordinated deployment is an example of:,A Problem|An Incident|A Service Request|A Release,3,"Release Management là quá trình đóng gói (bundling) nhiều approved changes để xây dựng, kiểm thử và triển khai đồng loạt cùng một lúc."
