Chương,Kanji (Hán Việt),Từ vựng,Cách đọc,Ý nghĩa
15,力 (LỰC),力,ちから,Sức mạnh
15,力 (LỰC),協力,きょうりょく,"Hợp tác, hiệp lực"
15,動 (ĐỘNG),動きます,うごきます,"Cử động, chuyển động"
15,動 (ĐỘNG),運動します,うんどうします,"Vận động, thể dục"
15,動 (ĐỘNG),自動,じどう,Tự động
15,動 (ĐỘNG),動画,どうが,"Video, clip"
15,動 (ĐỘNG),動物,どうぶつ,Động vật
15,動 (ĐỘNG),感動,かんどう,"Cảm động, ấn tượng"
15,動 (ĐỘNG),不動産,ふどうさん,Bất động sản
15,働 (ĐỘNG),働きます,はたらきます,Làm việc
15,知 (TRI),知ります,しります,Biết
15,知 (TRI),お知らせ,おしらせ,Thông báo
15,知 (TRI),知り合い,しりあい,Người quen
15,知 (TRI),承知,しょうち,"Đồng ý, hiểu rõ"
15,短 (ĐOẢN),短い,みじかい,Ngắn
15,短 (ĐOẢN),短気,たんき,"Nóng nảy, dễ nổi nóng"
15,医 (Y),医者,いしゃ,Bác sĩ
15,医 (Y),歯医者,はいしゃ,Nha sĩ
15,医 (Y),医学,いがく,Y học
15,皿 (MÃNH),お皿,おさら,Chiếc đĩa
15,血 (HUYẾT),血,ち,Máu
16,工 (CÔNG),工事,こうじ,"Thi công, công trình"
16,工 (CÔNG),工場,こうじょう,Nhà máy
16,空 (KHÔNG),空,そら,Bầu trời
16,空 (KHÔNG),空港,くうこう,Sân bay
16,空 (KHÔNG),空気,くうき,Không khí
16,計 (KẾ),時計,とけい,Đồng hồ
16,計 (KẾ),腕時計,うでどけい,Đồng hồ đeo tay
16,計 (KẾ),計算,けいさん,Tính toán
16,計 (KẾ),計画,けいかく,Kế hoạch
16,説 (THUYẾT),小説,しょうせつ,Tiểu thuyết
16,説 (THUYẾT),説明,せつめい,Giải thích
16,説 (THUYẾT),説明会,せつめいかい,"Buổi hướng dẫn / giải thích"
16,説 (THUYẾT),説明書,せつめいしょ,Sách hướng dẫn
16,試 (THÍ),試験,しけん,Kỳ thi
16,試 (THÍ),試合,しあい,Trận thi đấu
16,試 (THÍ),試着します,しちゃくします,Mặc thử
16,心 (TÂM),安心します,あんしんします,"Yên tâm, an tâm"
16,心 (TÂM),心配します,しんぱいします,Lo lắng
16,思 (TƯ),思います,おもいます,"Nghĩ, cảm thấy"
16,思 (TƯ),思い出します,おもいだします,Nhớ ra
16,思 (TƯ),不思議,ふしぎ,"Kì lạ, khó hiểu"
16,性 (TÍNH),女性,じょせい,"Nữ giới, phụ nữ"
16,性 (TÍNH),男性,だんせい,"Nam giới, đàn ông"
16,性 (TÍNH),性格,せいかく,Tính cách
16,地 (ĐỊA),地図,ちず,Bản đồ
16,地 (ĐỊA),地下鉄,ちかてつ,Tàu điện ngầm
16,地 (ĐỊA),地面,じめん,Mặt đất
16,地 (ĐỊA),地震,じしん,Động đất
16,池 (TRÌ),池,いけ,Ao
16,池 (TRÌ),電池,でんち,Cục pin
17,公 (CÔNG),公園,こうえん,Công viên
17,公 (CÔNG),主人公,しゅじんこう,Nhân vật chính
17,広 (QUẢNG),広い,ひろい,Rộng
17,広 (QUẢNG),広告,こうこく,Quảng cáo
17,去 (KHỨ),去年,きょねん,Năm ngoái
17,転 (CHUYỂN),転びます,ころびます,"Ngã, té"
17,転 (CHUYỂN),運転します,うんてんします,Lái xe
17,転 (CHUYỂN),運転手,うんてんしゅ,"Tài xế, người lái xe"
17,転 (CHUYỂN),自転車,じてんしゃ,Xe đạp
17,遠 (VIỄN),遠い,とおい,Xa
17,園 (VIÊN),公園,こうえん,Công viên
17,園 (VIÊN),遊園地,ゆうえんち,Khu vui chơi
17,園 (VIÊN),動物園,どうぶつえん,Sở thú
17,園 (VIÊN),保育園,ほいくえん,Nhà trẻ
17,台 (ĐÀI),台所,だいどころ,Nhà bếp
17,台 (ĐÀI),台風,たいふう,Bão
17,始 (THỦY),始めます,はじめます,"Bắt đầu (cái gì đó)"
17,始 (THỦY),始まります,はじまります,"(cái gì đó) Bắt đầu"
17,始 (THỦY),開始,かいし,"Bắt đầu, khởi đầu"
17,治 (TRỊ),治します,なおします,"Chữa, trị bệnh"
17,治 (TRỊ),治ります,なおります,"Khỏi (bệnh), lành (vết thương)"
17,治 (TRỊ),政治,せいじ,Chính trị
17,正 (CHÍNH),正しい,ただしい,"Đúng, chính xác"
17,正 (CHÍNH),お正月,おしょうがつ,Tết
17,政 (CHÍNH),政治,せいじ,Chính trị
18,王 (VƯƠNG),王様,おうさま,Nhà vua
18,玉 (NGỌC),お年玉,おとしだま,Tiền mừng tuổi
18,玉 (NGỌC),目玉焼き,めだまやき,Trứng ốp la
18,国 (QUỐC),国,くに,Đất nước
18,国 (QUỐC),外国,がいこく,Nước ngoài
18,国 (QUỐC),外国語,がいこくご,Ngoại ngữ
18,国 (QUỐC),国際,こくさい,Quốc tế
18,主 (CHỦ),飼い主,かいぬし,Chủ nuôi
18,主 (CHỦ),ご主人,ごしゅじん,"Chồng (người khác)"
18,主 (CHỦ),主人公,しゅじんこう,Nhân vật chính
18,住 (TRÚ),住みます,すみます,"Sống, sinh sống"
18,住 (TRÚ),住所,じゅうしょ,Địa chỉ
18,所 (SỞ),所,ところ,"Nơi, chỗ"
18,所 (SỞ),台所,だいどころ,"Bếp, phòng bếp"
18,所 (SỞ),住所,じゅうしょ,"Nơi ở, địa chỉ"
18,所 (SỞ),市役所,しやくしょ,Tòa thị chính
18,所 (SỞ),近所,きんじょ,"Hàng xóm, khu lân cận"
18,近 (CẬN),近い,ちかい,"Gần, sát"
18,近 (CẬN),近づきます,ちかづきます,"Lại gần, tiếp cận"
18,近 (CẬN),最近,さいきん,"Gần đây, dạo này"
18,近 (CẬN),近所,きんじょ,"Hàng xóm, khu lân cận"
18,辺 (BIÊN),辺,へん,"Khu vực, vùng"
18,辺 (BIÊN),この辺,このへん,"Vùng này, khu vực này"
18,切 (THIẾT),切ります,きります,"Cắt, cứa; ngắt (nguồn điện, điện thoại)"
18,切 (THIẾT),切符,きっぷ,Vé
18,切 (THIẾT),切手,きって,Con tem
18,切 (THIẾT),締め切り,しめきり,Hạn chót
18,切 (THIẾT),親切,しんせつ,"Thân thiện, tử tế"
18,切 (THIẾT),大切,たいせつ,Quan trọng
19,勉 (MIỄN),勉強します,べんきょうします,Học
19,晩 (VÃN),今晩,こんばん,Tối nay
19,晩 (VÃN),毎晩,まいばん,"Hàng tối, mỗi tối"
19,晩 (VÃN),晩ご飯,ばんごはん,Cơm tối
19,色 (SẮC),色,いろ,Màu sắc
19,色 (SẮC),色んな,いろんな,"Nhiều (loại)"
19,色 (SẮC),茶色,ちゃいろ,Màu nâu
19,色 (SẮC),景色,けしき,Phong cảnh
19,発 (PHÁT),発明,はつめい,Phát minh
19,発 (PHÁT),発見,はっけん,"Phát kiến, phát hiện"
19,発 (PHÁT),出発,しゅっぱつ,Xuất phát
19,発 (PHÁT),発音,はつおん,Phát âm
19,発 (PHÁT),発売,はつばい,Mở bán
19,黄 (HOÀNG),黄色,きいろ,Màu vàng
19,黄 (HOÀNG),黄色い,きいろい,Vàng
19,虫 (TRÙNG),虫,むし,"Côn trùng, con sâu"
19,風 (PHONG),風,かぜ,Gió
19,風 (PHONG),風邪,かぜ,Cảm cúm
19,風 (PHONG),台風,たいふう,Bão
19,強 (CƯỜNG),強い,つよい,Mạnh
19,強 (CƯỜNG),勉強,べんきょう,Học tập
19,油 (DU),油,あぶら,Dầu
19,油 (DU),石油,せきゆ,Dầu mỏ
19,決 (QUYẾT),決めます,きめます,"Quyết định (cái gì đó)"
19,決 (QUYẾT),決まります,きまります,"(cái gì đó) Được quyết định"
19,漢 (HÁN),漢字,かんじ,Chữ Hán
20,止 (CHỈ),止まります,とまります,"(xe) Dừng, đỗ"
20,止 (CHỈ),止みます,やみます,"Ngừng, dừng lại, tạnh (mưa)"
20,止 (CHỈ),中止,ちゅうし,"Hủy bỏ, ngừng (giữa chừng)"
20,歩 (BỘ),歩きます,あるきます,Đi bộ
20,歩 (BỘ),散歩します,さんぽします,"Đi dạo, tản bộ"
20,歴 (LỊCH),歴史,れきし,Lịch sử
20,史 (SỬ),歴史,れきし,Lịch sử
20,使 (SỬ),使います,つかいます,Sử dụng
20,使 (SỬ),大使館,たいしかん,Đại sứ quán
20,使 (SỬ),使用します,しようします,Sử dụng
20,品 (PHẨM),商品,しょうひん,Sản phẩm
20,品 (PHẨM),化粧品,けしょうひん,Mỹ phẩm
20,号 (HIỆU),信号,しんごう,"Tín hiệu, đèn giao thông"
20,号 (HIỆU),電話番号,でんわばんごう,Số điện thoại
20,号 (HIỆU),暗証番号,あんしょうばんごう,Mật khẩu
20,味 (VỊ),味,あじ,Mùi vị
20,味 (VỊ),意味,いみ,Ý nghĩa
20,味 (VỊ),興味,きょうみ,Hứng thú
20,味 (VỊ),調味料,ちょうみりょう,Gia vị
20,研 (NGHIÊN),研究,けんきゅう,Nghiên cứu
20,研 (NGHIÊN),研究者,けんきゅうしゃ,Nhà nghiên cứu
20,丸 (HOÀN),丸,まる,Hình tròn
20,究 (CỨU),研究,けんきゅう,Nghiên cứu
20,究 (CỨU),研究者,けんきゅうしゃ,Nhà nghiên cứu
20,谷 (CỐC),谷,たに,Thung lũng
20,船 (THUYỀN),船,ふね,"Con thuyền, tàu"
21,里 (LÝ),里芋,さといも,Khoai sọ
21,里 (LÝ),万里の長城,ばんりのちょうじょう,Vạn Lý Trường Thành
21,理 (LÝ),料理,りょうり,Món ăn
21,理 (LÝ),修理,しゅうり,Sửa chữa
21,野 (DÃ),野菜,やさい,Rau
21,野 (DÃ),野球,やきゅう,Bóng chày
21,若 (NHƯỢC),若い,わかい,Trẻ trung
21,菜 (THÁI),野菜,やさい,Rau
21,番 (PHIÊN),一番,いちばん,"Số 1; nhất"
21,番 (PHIÊN),交番,こうばん,Đồn cảnh sát
21,番 (PHIÊN),番組,ばんぐみ,Chương trình (truyền hình)
21,番 (PHIÊN),電話番号,でんわばんごう,Số điện thoại
21,番 (PHIÊN),暗証番号,あんしょうばんごう,Mật khẩu
21,料 (LIỆU),無料,むりょう,Miễn phí
21,料 (LIỆU),料理,りょうり,"Món ăn; nấu ăn"
21,料 (LIỆU),調味料,ちょうみりょう,Gia vị
21,料 (LIỆU),材料,ざいりょう,"Nguyên liệu, vật liệu; tài liệu"
21,料 (LIỆU),給料,きゅうりょう,Lương
21,料 (LIỆU),食料品,しょくりょうひん,Thực phẩm
21,奥 (ÁO),奥さん,おくさん,"Vợ (người khác)"
21,鳥 (ĐIỂU),鳥,とり,Con chim
21,鳴 (MINH),鳴きます,なきます,"(mèo, chim...) Kêu, hót"
21,鳴 (MINH),鳴ります,なります,"(chuông) Reo"
21,島 (ĐẢO),島,しま,Hòn đảo
22,化 (HÓA),文化,ぶんか,Văn hóa
22,化 (HÓA),化粧,けしょう,Trang điểm
22,化 (HÓA),化粧品,けしょうひん,Mỹ phẩm
22,便 (TIỆN),不便,ふべん,Bất tiện
22,便 (TIỆN),便利,べんり,Tiện lợi
22,便 (TIỆN),郵便局,ゆうびんきょく,Bưu điện
22,便 (TIỆN),宅配便,たくはいびん,Dịch vụ chuyển phát nhanh tận nhà
22,係 (HỆ),係の人,かかりのひと,Người phụ trách
22,宿 (TÚC),宿題,しゅくだい,Bài tập về nhà
22,私 (TƯ),私,わたし,Tôi
22,利 (LỢI),便利,べんり,Tiện lợi
22,利 (LỢI),利用,りよう,"Sử dụng, tận dụng; lợi dụng"
22,科 (KHOA),科学,かがく,Khoa học
22,科 (KHOA),教科書,きょうかしょ,Sách giáo khoa
22,顔 (NHAN),顔,かお,"Gương mặt, khuôn mặt"
