id,type,question,options,correctAnswer,explanation
1,single_choice,"Which of the following defines the AI black box problem?","Machine intelligence making something illusory, like pulling a rabbit from a hat|The challenge of understanding the inner workings of opaque systems|Not being able to know how something crashed or failed|A dangerous machine intelligence put in a digital prison","1","Thuật ngữ 'Black box' (Hộp đen) trong AI chỉ các mô hình (như Mạng nơ-ron sâu) cực kỳ phức tạp mà con người không thể hiểu hoặc truy xuất được logic ra quyết định bên trong. Đáp án 1 ánh xạ chính xác: 'inner workings' (cơ chế hoạt động bên trong) của 'opaque systems' (các hệ thống mờ đục/không trong suốt)."
2,multiple_choice,"Which of the following elements are important aspects of ethical integrity with regards to data? (Select two.)","If the holders of data are trustworthy entities.|If the data is commercially viable or monetarily valuable.|Whether the data was gathered in an ethical manner.|What type of data (audio, visual, etc.) is being collected and/or utilized.","0|2","'Ethical integrity' (Tính toàn vẹn đạo đức) của dữ liệu liên quan đến 2 yếu tố: chủ thể nắm giữ dữ liệu có đáng tin cậy không ('holders... are trustworthy') và phương pháp thu thập dữ liệu đó có tuân thủ đạo đức không ('gathered in an ethical manner')."
3,multiple_choice,"Which of the following best describes why data is sometimes compared to oil? (Select two.)","Data can fuel algorithmic technologies.|Data can be monetarily valuable.|Data can be easily monopolized.|Data can damage the environment.","0|1","Dữ liệu được ví như dầu mỏ (oil) vì tính chất tạo ra năng lượng và giá trị kinh tế. Cụ thể: nó là 'nhiên liệu' (fuel) để vận hành các thuật toán công nghệ, và nó mang lại giá trị tiền bạc rất lớn ('monetarily valuable')."
4,single_choice,"At what point should ethical consideration ideally be applied to emerging technologies?","Upon delivery, with appropriate warranties where necessary.|From its inception, through maintenance, to applying foresight regarding its decommissioning.|Once an ethical issue has received negative feedback in public media.|During periodic reviews, with ongoing customer feedback solicited.","1","Các cân nhắc về đạo đức (ethical consideration) cần được áp dụng xuyên suốt toàn bộ vòng đời của công nghệ: từ lúc bắt đầu hình thành ý tưởng (inception), qua giai đoạn bảo trì (maintenance), cho đến khi dự đoán việc gỡ bỏ/tiêu hủy hệ thống (decommissioning)."
5,single_choice,"Which of the following describes dual-use or multipurpose data?","Data that can be transformed into multiple forms, e.g. extracting audio from a video file.|Data that can be easily shared with a partner or family member for mutual enjoyment.|Data that can be used in multiple devices or formats, such as a video on a Smart TV, tablet, and computer.|Data collected for one application that could also be applied to another application in a different domain.","3","'Dual-use' (Sử dụng kép) hoặc 'Multipurpose' (Đa mục đích) chỉ việc dữ liệu được thu thập ban đầu cho một ứng dụng/mục đích này ('collected for one application') nhưng lại có thể được đem đi áp dụng cho một lĩnh vực/ứng dụng hoàn toàn khác ('applied to another application in a different domain')."
6,multiple_choice,"Which of the following are important ethical elements to safeguard within ethical AI systems? (Select two.)","Transparency and explainability, balanced with privacy.|The number of layers, tensors, or parameters used in a model.|Performance and optimization.|Accountability and management of bias.","0|3","Các trụ cột đạo đức cần bảo vệ trong AI bao gồm: Tính minh bạch và khả năng giải thích (Transparency and explainability) đi kèm với quyền riêng tư (privacy); cùng với Trách nhiệm giải trình (Accountability) và quản lý thiên kiến (management of bias). Các yếu tố như performance hay số layer chỉ là kỹ thuật thuần túy."
7,single_choice,"Which of the following is the generally agreed upon current state of the art of AI?","Perceptrons|Superintelligence|Narrow AI|Strong AI","2","Trạng thái phát triển hiện tại của AI được giới chuyên môn đồng thuận là 'Narrow AI' (AI hẹp/AI chuyên biệt) - tức là AI chỉ có thể thực hiện tốt một hoặc một vài tác vụ cụ thể. 'Strong AI' hay 'Superintelligence' hiện tại vẫn chỉ nằm ở mức độ lý thuyết/khoa học viễn tưởng."
8,multiple_choice,"Which of the following describe important aspects of why emerging technologies are so capable and powerful? (Select two.)","They are exciting and captivating to many people.|They may be able to self-improve by learning from data.|They can displace workers by performing their jobs more efficiently.|They can automate very complex operations.","1|3","Sức mạnh của công nghệ mới nổi (emerging technologies) nằm ở khả năng tự cải thiện bằng cách học hỏi từ dữ liệu ('self-improve by learning from data') và khả năng tự động hóa các hoạt động cực kỳ phức tạp ('automate very complex operations')."
9,multiple_choice,"Management asks someone to do a data-related task. Which of the following would likely be ethically problematic? (Select two.)","Delete any erroneous data.|Aggregate data together.|Change data to another format.|Manipulate data or alter its interpretation.","0|3","Các hành vi có vấn đề về đạo đức (ethically problematic) bao gồm: Tự ý xóa dữ liệu lỗi ('Delete erroneous data' - làm mất tính toàn vẹn và lịch sử dữ liệu) và thao túng hoặc cố tình thay đổi cách diễn dịch dữ liệu ('Manipulate data or alter its interpretation' - dẫn đến sai lệch sự thật)."
10,multiple_choice,"Which of the following describe important aspects in the role of an ethical AI engineer? (Select two.)","Writing new equations to express intelligence.|Keeping up with the latest developments and vulnerabilities.|Cleaning and sorting data, and auditing for bias.|Building and maintaining computational hardware.","1|2","Vai trò của một kỹ sư AI đạo đức (ethical AI engineer) bao gồm việc liên tục cập nhật các rủi ro, lỗ hổng mới ('Keeping up with vulnerabilities') và phải thường xuyên kiểm toán thiên kiến, làm sạch dữ liệu ('auditing for bias, cleaning data') để đảm bảo tính công bằng."
11,single_choice,"Which of the following, by itself, qualifies as personally identifiable information (PII)?","Temperature readings for an office building|A user's home address|System events added to a log|A user's customer ID in an online ordering system","1","PII (Personally Identifiable Information - Thông tin định danh cá nhân) là bất kỳ dữ liệu nào có thể xác định trực tiếp một cá nhân cụ thể. 'A user's home address' (địa chỉ nhà của người dùng) là thông tin định danh rõ ràng nhất trong các lựa chọn này."
12,single_choice,"Why are groups like race and religion considered protected classes?","Organizations are legally not allowed to collect information about these groups.|These groups can be used to personally identify someone.|People use these groups as the basis for their identities.|These groups have been used as the basis for wholesale discrimination.","3","'Protected classes' (Các nhóm được bảo vệ theo pháp luật như chủng tộc, tôn giáo) có quy chế đặc biệt vì trong lịch sử, những nhóm này đã từng là nạn nhân của sự phân biệt đối xử hàng loạt/có hệ thống ('wholesale discrimination'). Việc đưa vào luật nhằm tránh AI lặp lại thiên kiến này."
13,single_choice,"Which of the following describes an opt-out policy in regards to the collection of private data?","Data about the user is always collected, regardless of the user's consent.|Data about the user is automatically collected unless that user explicitly states that you should not do so.|Data about that user isn't collected until that user explicitly states you are allowed to.|Data about the user is never collected, regardless of the user's consent.","1","Chính sách 'Opt-out' (Quyền từ chối) có nghĩa là hệ thống sẽ mặc định tự động thu thập dữ liệu ('automatically collected') trừ khi người dùng chủ động yêu cầu dừng lại ('unless explicitly states you should not'). Trái ngược với 'Opt-in' là phải xin phép trước khi thu thập."
14,multiple_choice,"Which of the following are key principles of privacy by design? (Select two.)","Organizations must incorporate privacy protections throughout the project lifecycle.|Organizations must keep the focus of privacy protections on the business rather than the user.|Organizations must be proactive in protecting against privacy risks, not reactive.|Organizations must not expose the operational practices and technologies used to protect user privacy.","0|2","'Privacy by design' (Quyền riêng tư từ trong thiết kế) yêu cầu việc bảo vệ quyền riêng tư phải được tích hợp xuyên suốt toàn bộ vòng đời dự án ('throughout project lifecycle') và mang tính chủ động phòng ngừa rủi ro ngay từ đầu ('proactive, not reactive')."
15,single_choice,"What is the purpose of differential privacy?","To remove the direct identifiers that can be used to identify individuals.|To enable parties to share private data without revealing individuals represented in the data.|To only allow certain parties to access certain portions of the data.|To ensure the data is completely confidential and cannot be read by unauthorized parties.","1","'Differential privacy' (Quyền riêng tư vi sai) là kỹ thuật thuật toán thêm 'nhiễu' (noise) vào bộ dữ liệu. Mục đích của nó là cho phép các bên chia sẻ thông tin tổng thể của tập dữ liệu ('share private data') mà không làm lộ danh tính cá nhân của bất kỳ ai trong đó ('without revealing individuals')."
16,single_choice,"Which of the following describes the concept of liability?","Answering for one's actions to an authority figure.|The legal responsibility for one's actions.|The moral duty one has to take action.|Taking ownership of an assigned task.","1","'Liability' (Trách nhiệm pháp lý) là khái niệm pháp luật chỉ trách nhiệm và nghĩa vụ phải chịu sự trừng phạt/bồi thường trước pháp luật về hành động của một người hoặc tổ chức ('The legal responsibility for one's actions'). Nó khác với 'accountability' (trách nhiệm giải trình)."
17,single_choice,"What does it mean to call a click-through agreement a ""contract of adhesion""?","One party is forced into a ""take-it-or-leave-it"" situation.|One party is forced into using the service after agreeing.|Both parties are legally bound by the agreement.|Both parties are equally responsible for ensuring the agreement is adhered to.","0","'Contract of adhesion' (Hợp đồng gia nhập) là loại hợp đồng do một bên có ưu thế soạn sẵn, bên kia (người dùng) chỉ có quyền chấp nhận toàn bộ để dùng dịch vụ hoặc từ chối ('take-it-or-leave-it' situation), hoàn toàn không được thương lượng các điều khoản."
18,single_choice,"Which of the following is a type of technology contract that establishes the goals of both parties and describes how those goals will be achieved?","Software as a Service (SaaS)|Terms of Service (ToS)|Service-level agreement (SLA)|End-user license agreement (EULA)","2","SLA (Service-level agreement - Thỏa thuận mức dịch vụ) là bản hợp đồng công nghệ thiết lập các mục tiêu chất lượng dịch vụ (ví dụ: thời gian uptime 99.9%, tốc độ phản hồi) và mô tả chi tiết cách thức đạt được các mục tiêu đó giữa nhà cung cấp và khách hàng."
19,single_choice,"How does a smart contract differ from a traditional contract?","Smart contracts serve a different purpose than traditional contracts.|Smart contracts are more effective than traditional contracts.|Smart contracts guarantee that all parties are anonymous.|Smart contracts eliminate the need for a central authority.","3","'Smart contract' (Hợp đồng thông minh) là đoạn mã chạy trên blockchain, tự động thực thi khi đạt điều kiện mà không cần có bên thứ ba trung gian như luật sư hay ngân hàng xác nhận ('eliminate the need for a central authority')."
20,single_choice,"How can a visual contract be easier to understand than a written contract?","The use of pictures explains the contract in greater detail than a written contract, making it easier for anyone to understand the particulars.|The use of pictures is more accessible to all people, whereas a written contract may be difficult for someone with a reading disability to understand.|The use of pictures without any text makes it easier for most people to comprehend the details of a contract.|The use of pictures with simple text makes it easier for the layperson to understand the details of a contract.","3","'Visual contract' (Hợp đồng trực quan) sử dụng hình ảnh minh họa kết hợp với văn bản đơn giản ('pictures with simple text') để giúp những người không có chuyên môn luật pháp ('layperson') dễ dàng hiểu được các chi tiết hợp đồng, thay vì bị ngợp bởi các thuật ngữ pháp lý phức tạp."
21,single_choice,"What causes bias?","Bias is caused by the media.|Biases are caused by the opinions of our families.|Bias is biological, we are born with it.|Biases are learned from our families, our social groups, and the media.","3","Bias (Thiên kiến/Định kiến) không phải là bẩm sinh (biological). Nó được hình thành và học hỏi ('learned') dần dần từ môi trường xung quanh chúng ta, bao gồm gia đình, nhóm xã hội và các phương tiện truyền thông ('media')."
