ID,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng,Giải thích,Ví dụ
1,Từ 「たいふう」 được viết bằng chữ Kanji nào?,広告,台風,自転車,治します,B,"A: 広告 (こうこく - Quảng cáo) | B: 台風 (たいふう - Bão) | C: 自転車 (じてんしゃ - Xe đạp) | D: 治します (なおします - Chữa, trị bệnh). => Đáp án đúng là B vì từ 'たいふう' được viết là 「台風」.",
2,Từ 「しゅじんこう」 được viết bằng chữ Kanji nào?,運転します,主人公,政治,治ります,B,"A: 運転します (うんてんします - Lái xe) | B: 主人公 (しゅじんこう - Nhân vật chính) | C: 政治 (せいじ - Chính trị) | D: 治ります (なおります - Khỏi (bệnh), lành (vết thương)). => Đáp án đúng là B vì từ 'しゅじんこう' được viết là 「主人公」.",
3,Từ 「どうぶつえん」 được viết bằng chữ Kanji nào?,台所,転びます,動物園,運転手,C,"A: 台所 (だいどころ - Nhà bếp, phòng bếp) | B: 転びます (ころびます - Ngã, té) | C: 動物園 (どうぶつえん - Sở thú) | D: 運転手 (うんてんしゅ - Tài xế, người lái xe). => Đáp án đúng là C vì từ 'どうぶつえん' được viết là 「動物園」.",
4,Từ nào dưới đây có nghĩa là: 「Sở thú」?,保育園,動物園,始まります,自転車,B,A: 保育園 (ほいくえん - Nhà trẻ) | B: 動物園 (どうぶつえん - Sở thú) | C: 始まります (はじまります - (cái gì đó) Bắt đầu) | D: 自転車 (じてんしゃ - Xe đạp). => Đáp án đúng là B vì 'Sở thú' tiếng Nhật là 「動物園」.,
5,Từ 「ころびます」 được viết bằng chữ Kanji nào?,転びます,運転します,お正月,運転手,A,"A: 転びます (ころびます - Ngã, té) | B: 運転します (うんてんします - Lái xe) | C: お正月 (おしょうがつ - Tết) | D: 運転手 (うんてんしゅ - Tài xế, người lái xe). => Đáp án đúng là A vì từ 'ころびます' được viết là 「転びます」.",
6,"Từ nào dưới đây có nghĩa là: 「Tài xế, người lái xe」?",転びます,台所,運転手,お正月,C,"A: 転びます (ころびます - Ngã, té) | B: 台所 (だいどころ - Nhà bếp, phòng bếp) | C: 運転手 (うんてんしゅ - Tài xế, người lái xe) | D: お正月 (おしょうがつ - Tết). => Đáp án đúng là C vì 'Tài xế, người lái xe' tiếng Nhật là 「運転手」.",
7,"Từ nào dưới đây có nghĩa là: 「Bắt đầu, khởi đầu」?",保育園,開始,運転します,運転手,B,"A: 保育園 (ほいくえん - Nhà trẻ) | B: 開始 (かいし - Bắt đầu, khởi đầu) | C: 運転します (うんてんします - Lái xe) | D: 運転手 (うんてんしゅ - Tài xế, người lái xe). => Đáp án đúng là B vì 'Bắt đầu, khởi đầu' tiếng Nhật là 「開始」.",
8,Cách đọc của chữ 「開始」 là gì?,どうぶつえん,こうえん,うんてんしゅ,かいし,D,"A: どうぶつえん (Sở thú) | B: こうえん (Công viên) | C: うんてんしゅ (Tài xế, người lái xe) | D: かいし (Bắt đầu, khởi đầu). => Đáp án đúng là D vì chữ 「開始」 đọc là 'かいし'.",
9,Từ nào dưới đây có nghĩa là: 「Xe đạp」?,主人公,自転車,遠い,転びます,B,"A: 主人公 (しゅじんこう - Nhân vật chính) | B: 自転車 (じてんしゃ - Xe đạp) | C: 遠い (とおい - Xa) | D: 転びます (ころびます - Ngã, té). => Đáp án đúng là B vì 'Xe đạp' tiếng Nhật là 「自転車」.",
10,Cách đọc của chữ 「広告」 là gì?,こうこく,たいふう,ゆうえんち,ただしい,A,"A: こうこく (Quảng cáo) | B: たいふう (Bão) | C: ゆうえんち (Khu vui chơi) | D: ただしい (Đúng, chính xác). => Đáp án đúng là A vì chữ 「広告」 đọc là 'こうこく'.",
11,Từ 「とおい」 được viết bằng chữ Kanji nào?,治します,遠い,動物園,去年,B,"A: 治します (なおします - Chữa, trị bệnh) | B: 遠い (とおい - Xa) | C: 動物園 (どうぶつえん - Sở thú) | D: 去年 (きょねん - Năm ngoái). => Đáp án đúng là B vì từ 'とおい' được viết là 「遠い」.",
12,Từ nào dưới đây có nghĩa là: 「Quảng cáo」?,開始,広告,お正月,正しい,B,"A: 開始 (かいし - Bắt đầu, khởi đầu) | B: 広告 (こうこく - Quảng cáo) | C: お正月 (おしょうがつ - Tết) | D: 正しい (ただしい - Đúng, chính xác). => Đáp án đúng là B vì 'Quảng cáo' tiếng Nhật là 「広告」.",
13,Từ 「こうえん」 được viết bằng chữ Kanji nào?,台所,公園,遊園地,政治,B,"A: 台所 (だいどころ - Nhà bếp, phòng bếp) | B: 公園 (こうえん - Công viên) | C: 遊園地 (ゆうえんち - Khu vui chơi) | D: 政治 (せいじ - Chính trị). => Đáp án đúng là B vì từ 'こうえん' được viết là 「公園」.",
14,Cách đọc của chữ 「去年」 là gì?,きょねん,なおります,せいじ,うんてんしゅ,A,"A: きょねん (Năm ngoái) | B: なおります (Khỏi (bệnh), lành (vết thương)) | C: せいじ (Chính trị) | D: うんてんしゅ (Tài xế, người lái xe). => Đáp án đúng là A vì chữ 「去年」 đọc là 'きょねん'.",
15,Từ nào dưới đây có nghĩa là: 「Bão」?,公園,台風,広い,運転します,B,A: 公園 (こうえん - Công viên) | B: 台風 (たいふう - Bão) | C: 広い (ひろい - Rộng) | D: 運転します (うんてんします - Lái xe). => Đáp án đúng là B vì 'Bão' tiếng Nhật là 「台風」.,
16,"Từ nào dưới đây có nghĩa là: 「Khỏi (bệnh), lành (vết thương)」?",正しい,動物園,治ります,保育園,C,"A: 正しい (ただしい - Đúng, chính xác) | B: 動物園 (どうぶつえん - Sở thú) | C: 治ります (なおります - Khỏi (bệnh), lành (vết thương)) | D: 保育園 (ほいくえん - Nhà trẻ). => Đáp án đúng là C vì 'Khỏi (bệnh), lành (vết thương)' tiếng Nhật là 「治ります」.",
17,"Từ nào dưới đây có nghĩa là: 「Chữa, trị bệnh」?",治します,政治,始めます,動物園,A,"A: 治します (なおします - Chữa, trị bệnh) | B: 政治 (せいじ - Chính trị) | C: 始めます (はじめます - Bắt đầu (cái gì đó)) | D: 動物園 (どうぶつえん - Sở thú). => Đáp án đúng là A vì 'Chữa, trị bệnh' tiếng Nhật là 「治します」.",
18,Từ 「はじめます」 được viết bằng chữ Kanji nào?,運転します,始めます,台風,政治,B,A: 運転します (うんてんします - Lái xe) | B: 始めます (はじめます - Bắt đầu (cái gì đó)) | C: 台風 (たいふう - Bão) | D: 政治 (せいじ - Chính trị). => Đáp án đúng là B vì từ 'はじめます' được viết là 「始めます」.,
19,Từ nào dưới đây có nghĩa là: 「Khu vui chơi」?,自転車,遊園地,広告,始まります,B,A: 自転車 (じてんしゃ - Xe đạp) | B: 遊園地 (ゆうえんち - Khu vui chơi) | C: 広告 (こうこく - Quảng cáo) | D: 始まります (はじまります - (cái gì đó) Bắt đầu). => Đáp án đúng là B vì 'Khu vui chơi' tiếng Nhật là 「遊園地」.,
20,Từ 「ひろい」 được viết bằng chữ Kanji nào?,開始,広い,運転手,台風,B,"A: 開始 (かいし - Bắt đầu, khởi đầu) | B: 広い (ひろい - Rộng) | C: 運転手 (うんてんしゅ - Tài xế, người lái xe) | D: 台風 (たいふう - Bão). => Đáp án đúng là B vì từ 'ひろい' được viết là 「広い」.",
21,Từ 「ほいくえん」 được viết bằng chữ Kanji nào?,遊園地,保育園,主人公,お正月,B,A: 遊園地 (ゆうえんち - Khu vui chơi) | B: 保育園 (ほいくえん - Nhà trẻ) | C: 主人公 (しゅじんこう - Nhân vật chính) | D: お正月 (おしょうがつ - Tết). => Đáp án đúng là B vì từ 'ほいくえん' được viết là 「保育園」.,
22,Cách đọc của chữ 「治ります」 là gì?,なおります,ただしい,こうこく,おしょうがつ,A,"A: なおります (Khỏi (bệnh), lành (vết thương)) | B: ただしい (Đúng, chính xác) | C: こうこく (Quảng cáo) | D: おしょうがつ (Tết). => Đáp án đúng là A vì chữ 「治ります」 đọc là 'なおります'.",
23,Cách đọc của chữ 「主人公」 là gì?,かいし,じてんしゃ,しゅじんこう,はじめます,C,"A: かいし (Bắt đầu, khởi đầu) | B: じてんしゃ (Xe đạp) | C: しゅじんこう (Nhân vật chính) | D: はじめます (Bắt đầu (cái gì đó)). => Đáp án đúng là C vì chữ 「主人公」 đọc là 'しゅじんこう'.",
24,Cách đọc của chữ 「正しい」 là gì?,きょねん,たいふう,ただしい,だいどころ,C,"A: きょねん (Năm ngoái) | B: たいふう (Bão) | C: ただしい (Đúng, chính xác) | D: だいどころ (Nhà bếp, phòng bếp). => Đáp án đúng là C vì chữ 「正しい」 đọc là 'ただしい'.",
25,Từ nào dưới đây có nghĩa là: 「Tết」?,お正月,正しい,主人公,広告,A,"A: お正月 (おしょうがつ - Tết) | B: 正しい (ただしい - Đúng, chính xác) | C: 主人公 (しゅじんこう - Nhân vật chính) | D: 広告 (こうこく - Quảng cáo). => Đáp án đúng là A vì 'Tết' tiếng Nhật là 「お正月」.",
26,Từ 「せいじ」 được viết bằng chữ Kanji nào?,去年,遊園地,台風,政治,D,A: 去年 (きょねん - Năm ngoái) | B: 遊園地 (ゆうえんち - Khu vui chơi) | C: 台風 (たいふう - Bão) | D: 政治 (せいじ - Chính trị). => Đáp án đúng là D vì từ 'せいじ' được viết là 「政治」.,
27,Từ 「こうこく」 được viết bằng chữ Kanji nào?,広告,お正月,遠い,動物園,A,A: 広告 (こうこく - Quảng cáo) | B: お正月 (おしょうがつ - Tết) | C: 遠い (とおい - Xa) | D: 動物園 (どうぶつえん - Sở thú). => Đáp án đúng là A vì từ 'こうこく' được viết là 「広告」.,
28,Từ nào dưới đây có nghĩa là: 「(cái gì đó) Bắt đầu」?,台所,広い,お正月,始まります,D,"A: 台所 (だいどころ - Nhà bếp, phòng bếp) | B: 広い (ひろい - Rộng) | C: お正月 (おしょうがつ - Tết) | D: 始まります (はじまります - (cái gì đó) Bắt đầu). => Đáp án đúng là D vì '(cái gì đó) Bắt đầu' tiếng Nhật là 「始まります」.",
